127.0.0.1 - - [09/Aug/2023:00:03:38 +0300] "GET / HTTP/1.1" 404 751
46.185.222.60 - - [09/Aug/2023:00:03:43 +0300] "POST /DeliStarBackend/Logout/Admin HTTP/1.1" 200 31
46.185.169.30 - - [09/Aug/2023:00:05:36 +0300] "OPTIONS /DeliStarBackend/Login/Admin HTTP/1.1" 200 503
46.185.169.30 - - [09/Aug/2023:00:05:36 +0300] "POST /DeliStarBackend/Login/Admin HTTP/1.1" 200 360
46.185.169.30 - - [09/Aug/2023:00:05:36 +0300] "OPTIONS /DeliStarBackend/Admin/Orders/Fetch HTTP/1.1" 200 516
46.185.169.30 - - [09/Aug/2023:00:05:36 +0300] "OPTIONS /DeliStarBackend/Management/Drivers/Fetch HTTP/1.1" 200 523
46.185.169.30 - - [09/Aug/2023:00:05:36 +0300] "POST /DeliStarBackend/Management/Drivers/Fetch HTTP/1.1" 200 77
46.185.169.30 - - [09/Aug/2023:00:05:36 +0300] "POST /DeliStarBackend/Admin/Orders/Fetch HTTP/1.1" 200 96
46.185.169.30 - - [09/Aug/2023:00:06:31 +0300] "OPTIONS /DeliStarBackend/Admin/Orders/Fetch HTTP/1.1" 200 516
46.185.169.30 - - [09/Aug/2023:00:06:31 +0300] "OPTIONS /DeliStarBackend/Management/Drivers/Fetch HTTP/1.1" 200 523
46.185.169.30 - - [09/Aug/2023:00:06:31 +0300] "POST /DeliStarBackend/Admin/Orders/Fetch HTTP/1.1" 200 37
46.185.169.30 - - [09/Aug/2023:00:06:31 +0300] "POST /DeliStarBackend/Management/Drivers/Fetch HTTP/1.1" 200 77
46.185.169.30 - - [09/Aug/2023:00:06:41 +0300] "OPTIONS /DeliStarBackend/Management/Drivers/Fetch HTTP/1.1" 200 523
46.185.169.30 - - [09/Aug/2023:00:06:41 +0300] "OPTIONS /DeliStarBackend/Admin/Orders/Fetch HTTP/1.1" 200 516
46.185.169.30 - - [09/Aug/2023:00:06:41 +0300] "POST /DeliStarBackend/Admin/Orders/Fetch HTTP/1.1" 200 37
46.185.169.30 - - [09/Aug/2023:00:06:41 +0300] "POST /DeliStarBackend/Management/Drivers/Fetch HTTP/1.1" 200 77
46.185.169.30 - - [09/Aug/2023:00:06:44 +0300] "POST /DeliStarBackend/Admin/Orders/Fetch HTTP/1.1" 200 37
46.185.169.30 - - [09/Aug/2023:00:06:44 +0300] "POST /DeliStarBackend/Management/Drivers/Fetch HTTP/1.1" 200 77
46.185.169.30 - - [09/Aug/2023:00:07:20 +0300] "OPTIONS /DeliStarBackend/Admin/Orders/Fetch HTTP/1.1" 200 516
46.185.169.30 - - [09/Aug/2023:00:07:20 +0300] "OPTIONS /DeliStarBackend/Management/Drivers/Fetch HTTP/1.1" 200 523
46.185.169.30 - - [09/Aug/2023:00:07:20 +0300] "POST /DeliStarBackend/Admin/Orders/Fetch HTTP/1.1" 200 37
46.185.169.30 - - [09/Aug/2023:00:07:20 +0300] "POST /DeliStarBackend/Management/Drivers/Fetch HTTP/1.1" 200 37
46.185.169.30 - - [09/Aug/2023:00:07:22 +0300] "POST /DeliStarBackend/Admin/Orders/Fetch HTTP/1.1" 200 37
46.185.169.30 - - [09/Aug/2023:00:07:22 +0300] "POST /DeliStarBackend/Management/Drivers/Fetch HTTP/1.1" 200 37
46.185.169.30 - - [09/Aug/2023:00:07:33 +0300] "OPTIONS /DeliStarBackend/Admin/Orders/Fetch HTTP/1.1" 200 516
46.185.169.30 - - [09/Aug/2023:00:07:33 +0300] "OPTIONS /DeliStarBackend/Management/Drivers/Fetch HTTP/1.1" 200 523
46.185.169.30 - - [09/Aug/2023:00:07:33 +0300] "POST /DeliStarBackend/Admin/Orders/Fetch HTTP/1.1" 200 37
46.185.169.30 - - [09/Aug/2023:00:07:33 +0300] "POST /DeliStarBackend/Management/Drivers/Fetch HTTP/1.1" 200 37
46.185.169.30 - - [09/Aug/2023:00:07:35 +0300] "POST /DeliStarBackend/Admin/Orders/Fetch HTTP/1.1" 200 37
46.185.169.30 - - [09/Aug/2023:00:07:35 +0300] "POST /DeliStarBackend/Management/Drivers/Fetch HTTP/1.1" 200 37
46.185.169.30 - - [09/Aug/2023:00:07:46 +0300] "OPTIONS /DeliStarBackend/Admin/Orders/Fetch HTTP/1.1" 200 516
46.185.169.30 - - [09/Aug/2023:00:07:46 +0300] "OPTIONS /DeliStarBackend/Management/Drivers/Fetch HTTP/1.1" 200 523
46.185.169.30 - - [09/Aug/2023:00:07:46 +0300] "POST /DeliStarBackend/Management/Drivers/Fetch HTTP/1.1" 200 37
46.185.169.30 - - [09/Aug/2023:00:07:46 +0300] "POST /DeliStarBackend/Admin/Orders/Fetch HTTP/1.1" 200 77
46.185.169.30 - - [09/Aug/2023:00:09:05 +0300] "OPTIONS /DeliStarBackend/Management/Drivers/Fetch HTTP/1.1" 200 523
46.185.169.30 - - [09/Aug/2023:00:09:05 +0300] "OPTIONS /DeliStarBackend/Admin/Orders/Fetch HTTP/1.1" 200 516
46.185.169.30 - - [09/Aug/2023:00:09:05 +0300] "POST /DeliStarBackend/Management/Drivers/Fetch HTTP/1.1" 200 37
46.185.169.30 - - [09/Aug/2023:00:09:05 +0300] "POST /DeliStarBackend/Admin/Orders/Fetch HTTP/1.1" 200 37
46.185.169.30 - - [09/Aug/2023:00:09:06 +0300] "POST /DeliStarBackend/Admin/Orders/Fetch HTTP/1.1" 200 37
46.185.169.30 - - [09/Aug/2023:00:09:06 +0300] "POST /DeliStarBackend/Management/Drivers/Fetch HTTP/1.1" 200 77
46.185.169.30 - - [09/Aug/2023:00:09:07 +0300] "POST /DeliStarBackend/Admin/Orders/Fetch HTTP/1.1" 200 37
46.185.169.30 - - [09/Aug/2023:00:09:07 +0300] "POST /DeliStarBackend/Management/Drivers/Fetch HTTP/1.1" 200 37
127.0.0.1 - - [09/Aug/2023:00:10:19 +0300] "GET / HTTP/1.1" 404 751
46.185.169.30 - - [09/Aug/2023:00:11:34 +0300] "OPTIONS /DeliStarBackend/Logout/Admin HTTP/1.1" 200 505
46.185.169.30 - - [09/Aug/2023:00:11:35 +0300] "POST /DeliStarBackend/Logout/Admin HTTP/1.1" 200 38
46.185.169.30 - - [09/Aug/2023:00:11:39 +0300] "OPTIONS /DeliStarBackend/Login/Admin HTTP/1.1" 200 503
46.185.169.30 - - [09/Aug/2023:00:11:39 +0300] "POST /DeliStarBackend/Login/Admin HTTP/1.1" 200 360
46.185.169.30 - - [09/Aug/2023:00:11:39 +0300] "OPTIONS /DeliStarBackend/Admin/Orders/Fetch HTTP/1.1" 200 516
46.185.169.30 - - [09/Aug/2023:00:11:39 +0300] "OPTIONS /DeliStarBackend/Management/Drivers/Fetch HTTP/1.1" 200 523
46.185.169.30 - - [09/Aug/2023:00:11:40 +0300] "POST /DeliStarBackend/Admin/Orders/Fetch HTTP/1.1" 200 77
46.185.169.30 - - [09/Aug/2023:00:11:40 +0300] "POST /DeliStarBackend/Management/Drivers/Fetch HTTP/1.1" 200 77
46.185.169.30 - - [09/Aug/2023:00:14:13 +0300] "OPTIONS /DeliStarBackend/Login/Admin HTTP/1.1" 200 503
46.185.169.30 - - [09/Aug/2023:00:14:13 +0300] "POST /DeliStarBackend/Login/Admin HTTP/1.1" 200 38
46.185.222.60 - - [09/Aug/2023:00:14:27 +0300] "POST /DeliStarBackend/Logout/Admin HTTP/1.1" 200 31
46.185.169.30 - - [09/Aug/2023:00:14:32 +0300] "OPTIONS /DeliStarBackend/Login/Admin HTTP/1.1" 200 503
46.185.169.30 - - [09/Aug/2023:00:14:32 +0300] "POST /DeliStarBackend/Login/Admin HTTP/1.1" 200 361
46.185.169.30 - - [09/Aug/2023:00:14:32 +0300] "OPTIONS /DeliStarBackend/Admin/Orders/Fetch HTTP/1.1" 200 516
46.185.169.30 - - [09/Aug/2023:00:14:32 +0300] "OPTIONS /DeliStarBackend/Management/Drivers/Fetch HTTP/1.1" 200 523
46.185.169.30 - - [09/Aug/2023:00:14:32 +0300] "POST /DeliStarBackend/Management/Drivers/Fetch HTTP/1.1" 200 37
46.185.169.30 - - [09/Aug/2023:00:14:32 +0300] "POST /DeliStarBackend/Admin/Orders/Fetch HTTP/1.1" 200 96
46.185.169.30 - - [09/Aug/2023:00:24:08 +0300] "OPTIONS /DeliStarBackend/Logout/Admin HTTP/1.1" 200 505
46.185.169.30 - - [09/Aug/2023:00:24:08 +0300] "POST /DeliStarBackend/Logout/Admin HTTP/1.1" 200 37
127.0.0.1 - - [09/Aug/2023:00:33:12 +0300] "GET / HTTP/1.1" 404 751
46.185.222.60 - - [09/Aug/2023:00:33:59 +0300] "POST /DeliStarBackend/Logout/Admin HTTP/1.1" 200 31
46.185.169.30 - - [09/Aug/2023:00:34:14 +0300] "OPTIONS /DeliStarBackend/Login/Admin HTTP/1.1" 200 503
46.185.169.30 - - [09/Aug/2023:00:34:15 +0300] "POST /DeliStarBackend/Login/Admin HTTP/1.1" 200 38
46.185.169.30 - - [09/Aug/2023:00:34:27 +0300] "OPTIONS /DeliStarBackend/Login/Admin HTTP/1.1" 200 503
46.185.169.30 - - [09/Aug/2023:00:34:28 +0300] "POST /DeliStarBackend/Login/Admin HTTP/1.1" 200 360
46.185.169.30 - - [09/Aug/2023:00:34:28 +0300] "OPTIONS /DeliStarBackend/Admin/Orders/Fetch HTTP/1.1" 200 516
46.185.169.30 - - [09/Aug/2023:00:34:28 +0300] "OPTIONS /DeliStarBackend/Management/Drivers/Fetch HTTP/1.1" 200 523
46.185.169.30 - - [09/Aug/2023:00:34:28 +0300] "POST /DeliStarBackend/Admin/Orders/Fetch HTTP/1.1" 200 96
46.185.169.30 - - [09/Aug/2023:00:34:28 +0300] "POST /DeliStarBackend/Management/Drivers/Fetch HTTP/1.1" 200 37
46.185.169.30 - - [09/Aug/2023:00:44:22 +0300] "OPTIONS /DeliStarBackend/Admin/Orders/Fetch HTTP/1.1" 200 516
46.185.169.30 - - [09/Aug/2023:00:44:22 +0300] "OPTIONS /DeliStarBackend/Management/Drivers/Fetch HTTP/1.1" 200 523
46.185.169.30 - - [09/Aug/2023:00:44:22 +0300] "POST /DeliStarBackend/Management/Drivers/Fetch HTTP/1.1" 200 37
46.185.169.30 - - [09/Aug/2023:00:44:22 +0300] "POST /DeliStarBackend/Admin/Orders/Fetch HTTP/1.1" 200 37
127.0.0.1 - - [09/Aug/2023:00:52:25 +0300] "GET / HTTP/1.1" 404 751
46.185.169.30 - - [09/Aug/2023:00:52:34 +0300] "OPTIONS /DeliStarBackend/Logout/Admin HTTP/1.1" 200 505
46.185.169.30 - - [09/Aug/2023:00:52:34 +0300] "POST /DeliStarBackend/Logout/Admin HTTP/1.1" 200 37
46.185.222.60 - - [09/Aug/2023:00:52:42 +0300] "POST /DeliStarBackend/Logout/Admin HTTP/1.1" 200 31
46.185.169.30 - - [09/Aug/2023:00:52:52 +0300] "OPTIONS /DeliStarBackend/Login/Admin HTTP/1.1" 200 503
46.185.169.30 - - [09/Aug/2023:00:52:52 +0300] "POST /DeliStarBackend/Login/Admin HTTP/1.1" 200 360
46.185.169.30 - - [09/Aug/2023:00:52:52 +0300] "OPTIONS /DeliStarBackend/Admin/Orders/Fetch HTTP/1.1" 200 516
46.185.169.30 - - [09/Aug/2023:00:52:52 +0300] "OPTIONS /DeliStarBackend/Management/Drivers/Fetch HTTP/1.1" 200 523
46.185.169.30 - - [09/Aug/2023:00:52:52 +0300] "POST /DeliStarBackend/Management/Drivers/Fetch HTTP/1.1" 200 37
46.185.169.30 - - [09/Aug/2023:00:52:52 +0300] "POST /DeliStarBackend/Admin/Orders/Fetch HTTP/1.1" 200 96
46.185.169.30 - - [09/Aug/2023:00:53:33 +0300] "OPTIONS /DeliStarBackend/Management/Drivers/Fetch HTTP/1.1" 200 523
46.185.169.30 - - [09/Aug/2023:00:53:33 +0300] "OPTIONS /DeliStarBackend/Admin/Orders/Fetch HTTP/1.1" 200 516
46.185.169.30 - - [09/Aug/2023:00:53:33 +0300] "POST /DeliStarBackend/Admin/Orders/Fetch HTTP/1.1" 200 37
46.185.169.30 - - [09/Aug/2023:00:53:33 +0300] "POST /DeliStarBackend/Management/Drivers/Fetch HTTP/1.1" 200 37
127.0.0.1 - - [09/Aug/2023:01:07:11 +0300] "GET / HTTP/1.1" 404 751
46.185.222.60 - - [09/Aug/2023:01:07:30 +0300] "POST /DeliStarBackend/Logout/Admin HTTP/1.1" 200 31
127.0.0.1 - - [09/Aug/2023:01:10:11 +0300] "GET / HTTP/1.1" 404 751
46.185.169.30 - - [09/Aug/2023:01:10:23 +0300] "OPTIONS /DeliStarBackend/Login/Admin HTTP/1.1" 200 503
46.185.169.30 - - [09/Aug/2023:01:10:23 +0300] "POST /DeliStarBackend/Login/Admin HTTP/1.1" 200 360
46.185.169.30 - - [09/Aug/2023:01:10:24 +0300] "OPTIONS /DeliStarBackend/Admin/Orders/Fetch HTTP/1.1" 200 516
46.185.169.30 - - [09/Aug/2023:01:10:24 +0300] "OPTIONS /DeliStarBackend/Management/Drivers/Fetch HTTP/1.1" 200 523
46.185.169.30 - - [09/Aug/2023:01:10:24 +0300] "POST /DeliStarBackend/Management/Drivers/Fetch HTTP/1.1" 200 37
46.185.169.30 - - [09/Aug/2023:01:10:24 +0300] "POST /DeliStarBackend/Admin/Orders/Fetch HTTP/1.1" 200 96
46.185.169.30 - - [09/Aug/2023:01:13:04 +0300] "OPTIONS /DeliStarBackend/Admin/Orders/Fetch HTTP/1.1" 200 516
46.185.169.30 - - [09/Aug/2023:01:13:04 +0300] "OPTIONS /DeliStarBackend/Management/Drivers/Fetch HTTP/1.1" 200 523
46.185.169.30 - - [09/Aug/2023:01:13:04 +0300] "POST /DeliStarBackend/Management/Drivers/Fetch HTTP/1.1" 200 37
46.185.169.30 - - [09/Aug/2023:01:13:04 +0300] "POST /DeliStarBackend/Admin/Orders/Fetch HTTP/1.1" 200 37
46.185.169.30 - - [09/Aug/2023:01:13:04 +0300] "POST /DeliStarBackend/Admin/Orders/Fetch HTTP/1.1" 200 37
46.185.169.30 - - [09/Aug/2023:01:13:07 +0300] "POST /DeliStarBackend/Management/Drivers/Fetch HTTP/1.1" 200 37
46.185.169.30 - - [09/Aug/2023:01:13:07 +0300] "POST /DeliStarBackend/Admin/Orders/Fetch HTTP/1.1" 200 77
46.185.169.30 - - [09/Aug/2023:01:15:42 +0300] "OPTIONS /DeliStarBackend/Admin/Orders/Fetch HTTP/1.1" 200 516
46.185.169.30 - - [09/Aug/2023:01:15:42 +0300] "POST /DeliStarBackend/Admin/Orders/Fetch HTTP/1.1" 200 37
46.185.169.30 - - [09/Aug/2023:01:15:43 +0300] "POST /DeliStarBackend/Admin/Orders/Fetch HTTP/1.1" 200 37
46.185.169.30 - - [09/Aug/2023:01:15:47 +0300] "OPTIONS /DeliStarBackend/Management/Drivers/Fetch HTTP/1.1" 200 523
46.185.169.30 - - [09/Aug/2023:01:15:47 +0300] "POST /DeliStarBackend/Admin/Orders/Fetch HTTP/1.1" 200 37
46.185.169.30 - - [09/Aug/2023:01:15:47 +0300] "POST /DeliStarBackend/Management/Drivers/Fetch HTTP/1.1" 200 37
46.185.169.30 - - [09/Aug/2023:01:15:52 +0300] "OPTIONS /DeliStarBackend/Admin/Orders/Fetch HTTP/1.1" 200 516
46.185.169.30 - - [09/Aug/2023:01:15:52 +0300] "POST /DeliStarBackend/Admin/Orders/Fetch HTTP/1.1" 200 37
46.185.169.30 - - [09/Aug/2023:01:15:53 +0300] "OPTIONS /DeliStarBackend/Management/Drivers/Fetch HTTP/1.1" 200 523
